iter	Logloss
0	0.6570898407
1	0.6131718473
2	0.5815516988
3	0.5563472507
4	0.5328366063
5	0.5145776512
6	0.496683671
7	0.4806369336
8	0.4630857488
9	0.4498170158
10	0.4387770689
11	0.4265828508
12	0.4189229469
13	0.4119103111
14	0.4030567004
15	0.396066822
16	0.3893330072
17	0.3848329834
18	0.3817312325
19	0.377350218
20	0.3745537812
21	0.3697356321
22	0.3652680631
23	0.3597373017
24	0.3552452658
25	0.3526943207
26	0.3508422907
27	0.3469508011
28	0.3417878039
29	0.3397987344
30	0.3361942545
31	0.3326489664
32	0.3303708884
33	0.329139539
34	0.3282075045
35	0.3266703936
36	0.3248198827
37	0.3235248183
38	0.3223619659
39	0.3207950782
40	0.3201614887
41	0.3168876255
42	0.3155476431
43	0.3147749019
44	0.3131837598
45	0.3131156258
46	0.3112965719
47	0.3098741942
48	0.3076181873
49	0.3053101893
50	0.3035958155
51	0.3018295403
52	0.3008446759
53	0.2987131254
54	0.2963014067
55	0.2946814379
56	0.2939060181
57	0.2920287316
58	0.2902243294
59	0.2893727735
60	0.2884064266
61	0.2875159267
62	0.2858209968
63	0.2854621079
64	0.2845151226
65	0.2835967311
66	0.2819379622
67	0.2807271555
68	0.2801691934
69	0.2789341406
70	0.2761485489
71	0.2746168907
72	0.271915356
73	0.2715707322
74	0.2703302555
75	0.2695996554
76	0.2688258437
77	0.2680132084
78	0.2673543478
79	0.2651295571
80	0.2648838527
81	0.2639881311
82	0.2630567659
83	0.2618548413
84	0.2611363494
85	0.2604012449
86	0.2577584423
87	0.2568386464
88	0.2555206396
89	0.2547026264
90	0.2542082744
91	0.2537579401
92	0.2519310056
93	0.2506205859
94	0.249413132
95	0.2482069632
96	0.2462322078
97	0.2455124666
98	0.2450199074
99	0.2444016686
