iter	Passed	Remaining
0	1	163
1	12	617
2	14	460
3	15	382
4	17	335
5	19	302
6	20	276
7	22	257
8	24	245
9	26	235
10	27	223
11	29	219
12	31	211
13	33	203
14	35	200
15	37	195
16	38	189
17	40	183
18	42	180
19	44	176
20	45	171
21	47	166
22	49	164
23	50	160
24	52	156
25	53	153
26	55	150
27	57	147
28	58	143
29	60	140
30	62	138
31	63	135
32	65	132
33	66	129
34	68	127
35	70	124
36	71	121
37	73	119
38	75	117
39	76	114
40	78	112
41	79	110
42	81	108
43	83	106
44	84	103
45	85	100
46	87	98
47	88	96
48	90	94
49	91	91
50	94	90
51	96	88
52	97	86
53	99	84
54	101	82
55	102	80
56	104	78
57	107	77
58	109	75
59	110	73
60	112	71
61	114	70
62	117	68
63	119	67
64	121	65
65	122	63
66	124	61
67	126	59
68	128	57
69	130	55
70	133	54
71	135	52
72	136	50
73	139	49
74	141	47
75	143	45
76	145	43
77	147	41
78	149	39
79	150	37
80	152	35
81	154	33
82	155	31
83	157	30
84	159	28
85	161	26
86	162	24
87	164	22
88	166	20
89	168	18
90	169	16
91	171	14
92	173	13
93	174	11
94	176	9
95	178	7
96	180	5
97	181	3
98	184	1
99	185	0
